collection_date,isolation_type,min_same,min_diff,serovar_new,country,isolation_source_new,num_close,antigen_formula_new,suscept_sim,mds_a_complete,mds_b_complete,sul2_complete,sul1_complete,bla_tem_1_complete,aad_a1_complete,fos_a7_complete,bla_cmy_2_complete,tet_a_complete,aph_3_ib_complete,aph_6_id_complete,tet_b_complete,streptomycin
2005,environmental/other,2,32,Other,USA,turkey,1,Other,0.6780599396288415,1,1,0,0,1,1,0,0,0,1,1,1,0
2005,environmental/other,2,32,Other,USA,turkey,1,Other,0.6780599396288415,1,1,0,0,1,1,0,0,0,1,1,1,0
2006,environmental/other,1,17,Other,USA,turkey,1,Other,0.8087752033902027,1,1,0,1,0,1,0,0,0,0,0,0,0
2007,environmental/other,25,41,Other,USA,turkey,0,Other,0.8459623772112869,1,1,0,0,0,1,0,0,0,0,0,0,0
2006,environmental/other,21,29,Other,USA,turkey,0,Other,0.8454528194418075,1,1,0,0,0,0,0,0,0,0,0,0,1
2014,environmental/other,15,27,Other,USA,turkey,0,Other,0.5769154186473047,1,1,0,0,0,1,0,1,0,0,0,0,1
2012,environmental/other,15,20,Other,USA,turkey,0,Other,0.564877410977434,1,1,0,0,0,0,0,1,0,0,0,0,1
2009,environmental/other,7,45,Other,USA,turkey,1,Other,0.8459623772112869,1,1,0,0,0,1,0,0,0,0,0,0,0
2006,environmental/other,1,42,Other,USA,turkey,1,Other,0.873106222903284,1,1,0,0,0,1,0,0,0,1,1,0,0
2005,environmental/other,13,39,Other,USA,turkey,0,Other,0.8454528194418075,1,1,0,0,0,0,0,0,0,0,0,0,1
2009,environmental/other,3,43,Other,USA,turkey,1,Other,0.8535698368976415,1,1,0,0,0,0,0,0,0,0,0,0,0
2009,environmental/other,3,42,Other,USA,turkey,1,Other,0.8459623772112869,1,1,0,0,0,1,0,0,0,0,0,0,0
2008,environmental/other,11,23,Other,USA,turkey,0,Other,0.8454528194418075,1,1,0,0,0,0,0,0,0,0,0,0,1
2006,environmental/other,3,41,Other,USA,turkey,1,Other,0.8459623772112869,1,1,0,0,0,1,0,0,0,0,0,0,0
2014,environmental/other,4,13,Anatum,USA,pork,1,Other,0.7709844559585493,1,1,0,0,0,0,0,0,0,0,0,0,1
2014,environmental/other,5,13,Anatum,USA,pork,1,Other,0.5179882266771559,1,1,0,0,0,0,0,0,0,0,0,0,1
2014,environmental/other,3,10,Anatum,USA,pork,1,Other,0.8321243523316062,1,1,0,0,0,0,0,0,0,0,0,0,1
2019,environmental/other,0,26,Other,USA,pork,1,Other,0.7076255323766378,1,1,0,0,0,0,0,0,0,0,0,0,1
2019,environmental/other,11,14,Kentucky,USA,chicken,0,8:i:z6,1,1,1,0,0,0,0,0,0,0,1,1,0,0
2019,environmental/other,1,9,Kentucky,USA,chicken,1,8:i:z6,1,1,1,0,0,0,0,0,0,0,1,1,0,0
2019,environmental/other,5,39,Kentucky,USA,chicken,1,8:i:z6,1,1,1,0,0,0,0,0,0,0,1,1,0,0
2019,environmental/other,2,6,Kentucky,USA,chicken,2,8:i:z6,1,1,1,0,0,0,0,0,0,0,1,1,0,0
2016,environmental/other,3,14,Other,USA,pork,1,Other,1,1,1,0,0,0,0,0,0,0,0,0,0,1
2016,environmental/other,7,5,Other,USA,pork,2,Other,1,1,1,0,0,0,0,0,0,0,0,0,0,1
