collection_date,isolation_type,min_same,min_diff,country,isolation_source_new,num_close,suscept_sim,resist_sim,bla_oxa_193_complete,x50s_l22_a103v_point,gyr_a_t86i_point,bla_oxa_complete,tet_o_complete,aph_3_ii_ia_complete,gentamicin
2016,environmental/other,19,20,USA,beef,0,0.9772727272727272,1,1,0,0,0,1,0,1
2016,environmental/other,14,11,USA,beef,0,0.9772727272727272,1,1,0,0,0,1,0,1
2019,environmental/other,5,3,USA,turkey,2,0.8636363636363636,1,1,0,0,0,1,0,1
2016,environmental/other,4,10,USA,chicken,1,0.8418367346938775,0.7181818181818183,0,0,0,0,1,1,0
2017,environmental/other,5,13,USA,chicken,1,0.8418367346938775,0.7181818181818183,0,0,0,0,1,1,0
2018,environmental/other,1,1,USA,chicken,2,0.7627551020408163,0.5772727272727273,0,0,1,0,1,1,0
2018,environmental/other,3,11,USA,chicken,1,0.8418367346938775,0.7181818181818183,0,0,0,0,1,1,0
2016,environmental/other,10,18,USA,beef,0,0.899641577060932,0.7829457364341085,1,0,1,0,0,0,1
2016,environmental/other,7,16,USA,beef,1,0.899641577060932,0.7829457364341085,1,0,1,0,0,0,1
2016,environmental/other,7,20,USA,beef,1,0.899641577060932,0.7829457364341085,1,0,1,0,1,0,1
2016,environmental/other,6,11,USA,beef,1,0.899641577060932,0.7829457364341085,1,0,1,0,1,0,1
2019,environmental/other,11,16,USA,chicken,0,0.9193548387096774,1,1,0,0,0,0,0,1
2019,environmental/other,2,6,USA,chicken,2,0.9193548387096774,1,1,0,0,0,0,0,1
2019,environmental/other,2,6,USA,chicken,2,0.9193548387096774,0.9544718694811202,1,0,0,0,0,0,1
2016,environmental/other,6,7,USA,beef,2,1,1,0,0,0,0,1,0,1
2016,environmental/other,4,3,USA,chicken,2,1,1,0,0,0,1,1,0,1
2017,environmental/other,11,9,USA,other/unspecified,0,1,1,0,0,0,0,1,0,1
2017,environmental/other,25,3,USA,chicken,1,1,1,0,0,0,1,1,0,1
2018,environmental/other,10,6,USA,chicken,1,1,1,0,0,0,0,1,0,1
