"collection_date","location","isolation_type","snp_cluster","min_same","min_diff","serotype","serovar_new","country","isolation_source_new","num_close","antigen_formula_new","suscept_sim","mdsA.COMPLETE","mdsB.COMPLETE","sul2.COMPLETE","sul1.COMPLETE","blaTEM.1.COMPLETE","aadA1.COMPLETE","fosA7.COMPLETE","blaCMY.2.COMPLETE","tet..A...COMPLETE","aph..3.....Ib.COMPLETE","aph..6...Id.COMPLETE","tet..B...COMPLETE","tetracycline","streptomycin","sulfisoxazole","ampicillin"
2008,"USA:NM","environmental/other","PDS000030727.2",0,NA,"Derby","Other","USA","turkey",NA,"Other",0.877729257641921,"1","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1"
2008,"USA:NM","environmental/other","PDS000030728.3",NA,15,"Muenchen","Other","USA","chicken",NA,"Other",NA,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2007,"USA:GA","environmental/other","PDS000030763.1",29,NA,"Panama","Other","USA","turkey",NA,"Other",0.943231441048035,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2007,"USA:TN","environmental/other","PDS000030763.1",14,NA,"Panama","Other","USA","turkey",NA,"Other",0.943231441048035,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2005,"USA:GA","environmental/other","PDS000030763.1",14,NA,"Panama","Other","USA","turkey",NA,"Other",0.88646288209607,"1","1","0","0","1","0","0","0","0","1","0","0","1","0","1","0"
2005,"USA:CO","environmental/other","PDS000031694.4",1,NA,"Newport","Other","USA","turkey",NA,"Other",1,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2005,"USA:CO","environmental/other","PDS000031694.4",4,NA,"Newport","Other","USA","turkey",NA,"Other",1,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2005,"USA:CO","environmental/other","PDS000031694.4",1,NA,"Newport","Other","USA","turkey",NA,"Other",1,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2005,"USA:CT","environmental/other","PDS000031690.9",17,19,"Typhimurium","Typhimurium","USA","chicken",0,"4:i:1,2",NA,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2008,"USA:CO","environmental/other","PDS000032014.9",25,27,"Senftenberg","Other","USA","chicken",0,"Other",NA,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2005,"USA:CT","environmental/other","PDS000031697.10",0,NA,"Alachua","Other","USA","turkey",NA,"Other",0.706848223769621,"1","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0"
2005,"USA:CT","environmental/other","PDS000031697.10",0,NA,"Alachua","Other","USA","turkey",NA,"Other",0.828602620087336,"1","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1"
2018,"USA:SC","environmental/other","PDS000031697.10",3,NA,"Alachua","Other","USA","turkey",NA,"Other",0.885179393367166,"1","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1"
2018,"USA:PA","environmental/other","PDS000031697.10",6,NA,"Alachua","Other","USA","turkey",NA,"Other",0.885179393367166,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2019,"USA:NY","environmental/other","PDS000031697.10",1,NA,"Alachua","Other","USA","turkey",NA,"Other",0.885179393367166,"1","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1"
2019,"USA:CA","environmental/other","PDS000029230.5",5,NA,"Orion","Other","USA","turkey",NA,"Other",NA,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2005,"USA:MN","environmental/other","PDS000031695.6",6,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.603243917654398,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
2005,"USA:CT","environmental/other","PDS000031695.6",3,NA,"Kentucky","Kentucky","USA","chicken",NA,"8:i:z6",0.603243917654398,"1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
